Id,Label,timeset,indegree,outdegree,degree,weighted indegree,weighted outdegree,weighted degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,Authority,Hub,modularity_class,pageranks,componentnumber,strongcompnum,clustering,eigencentrality
liliangzhu1999,liliangzhu1999,,1,0,1,1,0,1,0,0,0,0,0.00019,0,26,0.000721,0,52,0,0.025273
55440318,55440318,,0,1,1,0,1,1,1,1,1,0,0,0,58,0.000646,44,643,0,0
151979051,151979051,,1,0,1,1,0,1,0,0,0,0,0,0,58,0.001196,44,642,0,0.002219
56647089,56647089,,1,0,1,1,0,1,0,0,0,0,0.081181,0,7,0.000651,0,296,0,0.006205
43332807,43332807,,1,0,1,1,0,1,0,0,0,0,0.003483,0,41,0.000658,0,78,0,0.01763
moifish1119,moifish1119,,1,1,2,1,1,2,2,0.666667,0.75,0,0.000069,0.000379,52,0.001543,0,503,0,0.011655
68340243,68340243,,1,0,1,1,0,1,0,0,0,0,0.081181,0,7,0.000651,0,295,0,0.006205
59738143,59738143,,1,0,1,1,0,1,0,0,0,0,0.081181,0,7,0.000651,0,294,0,0.006205
79902769,79902769,,0,1,1,0,1,1,1,1,1,0,0,0,59,0.000646,45,645,0,0
97369920,97369920,,1,0,1,1,0,1,0,0,0,0,0,0,59,0.001196,45,644,0,0.002219
28258091,28258091,,2,1,3,2,1,3,1,1,1,2,0.084661,0,7,0.00072,0,246,0.333333,0.012411
3741932,3741932,,1,0,1,1,0,1,0,0,0,0,0,0,7,0.001258,0,245,0,0.010191
40991156,40991156,,1,0,1,1,0,1,0,0,0,0,0.081181,0,7,0.000651,0,293,0,0.006205
M1022,M1022,,1,0,1,1,0,1,0,0,0,0,0.081181,0,7,0.000651,0,292,0,0.006205
1091757,1091757,,0,1,1,0,1,1,1,1,1,0,0,0,55,0.000646,41,646,0,0
148600246,148600246,,2,0,2,2,0,2,0,0,0,0,0,0,55,0.001471,41,633,0,0.004439
49205466,49205466,,1,0,1,1,0,1,0,0,0,0,0.007209,0,49,0.000668,0,199,0,0.042986
42137560,42137560,,1,0,1,1,0,1,0,0,0,0,0.081181,0,7,0.000651,0,291,0,0.006205
151732641,151732641,,1,0,1,1,0,1,0,0,0,0,0.001068,0,33,0.000661,0,108,0,0.013018
124408268,124408268,,1,0,1,1,0,1,0,0,0,0,0.001068,0,33,0.000661,0,107,0,0.013018
souryour,souryour,,0,1,1,0,1,1,1,1,1,0,0,0,60,0.000646,46,648,0,0
152597081,152597081,,1,0,1,1,0,1,0,0,0,0,0,0,60,0.001196,46,647,0,0.002219
3406206,3406206,,1,0,1,1,0,1,0,0,0,0,0.081181,0,7,0.000651,0,290,0,0.006205
ArmandaTan,ArmandaTan,,1,0,1,1,0,1,0,0,0,0,0.007209,0,49,0.000668,0,196,0,0.042986
128331031,128331031,,2,0,2,2,0,2,0,0,0,0,0.001744,0,33,0.000731,0,106,0,0.022051
3879960,3879960,,1,0,1,1,0,1,0,0,0,0,0.000274,0,26,0.000671,0,438,0,0.002219
85360234,85360234,,1,0,1,1,0,1,0,0,0,0,0.00076,0,27,0.000677,0,339,0,0.006205
46780949,46780949,,1,0,1,1,0,1,0,0,0,0,0.000274,0,26,0.000671,0,437,0,0.002219
qinggegeilife,qinggegeilife,,1,0,1,1,0,1,0,0,0,0,0.000831,0,22,0.000727,0,169,0,0.035772
104585689,104585689,,1,0,1,1,0,1,0,0,0,0,0.00076,0,27,0.000677,0,338,0,0.006205
moan717,moan717,,1,0,1,1,0,1,0,0,0,0,0.000007,0,33,0.000921,0,616,0,0.002219
141287823,141287823,,1,0,1,1,0,1,0,0,0,0,0.004561,0,50,0.00066,0,502,0,0.002219
38044585,38044585,,1,0,1,1,0,1,0,0,0,0,0.081181,0,7,0.000651,0,289,0,0.006205
66384380,66384380,,1,0,1,1,0,1,0,0,0,0,0.081181,0,7,0.000651,0,288,0,0.006205
84918070,84918070,,1,0,1,1,0,1,0,0,0,0,0.00019,0,26,0.000721,0,51,0,0.025273
63646887,63646887,,1,0,1,1,0,1,0,0,0,0,0.081181,0,7,0.000651,0,285,0,0.006205
